Famille,Modèle,Nom produit,Variante,URL,Cadence de frappe 1,Cadence de frappe 2,Cadence de frappe max (cps/min),Cap. Bois/métal/béton [mm],Capacité acier (mm),Capacité batterie (Ah),Capacité bois (mm),Capacité béton (mm),Capacité de coupe,Capacité mandrin (mm),Capacité pierre (mm),Chargeur fourni,Chargeur inclus,Couple blocage statique (Nm),Couple max (Nm),Diamètre de perçage max avec une  scie cloche (mm),Diamètre de perçage max avec une mèche bois (mm),Diamètre de perçage max dans le bois (mm),Emballage,Inclus dans le kit,Livré avec,Niveau de pression acoustique (Lpa)(dB(A)),Niveau de puissance acoustique (Lwa)(dB(A)),Niveau de puissance acoustique mesuré  (dB(A)),Niveau de vibration (m/s²),Nombre de batterie(s),Numéro EAN,Poids (kg),Poids avec batterie (EPTA) (kg),Puissance absorbée (W),Réf,Réglages vitesse,Tension (V),Tolérance de vibration de perçage (m/s²),Tolérance de vibration de perçage dans le béton (m/s²),Tolérance de vibration de perçage dans le métal (m/s²),Tolérance de vibration de vissage (m/s²),Tolérance du niveau de pression acoustique  (dB(A)),Tolérance du niveau de puissance acoustique  (dB(A)),Tolérance du niveau de puissance acoustique mesuré  (dB(A)),Type de batterie,Vibration de perçage dans le béton (m/s²),Vibration de perçage dans le métal (m/s²),Vibration de vissage (m/s²),Vibration percussion drilling into concrete [m|s²],Vibration percussion drilling into concrete uncertainty [m|s²],Vibrations perçage (m/s²),Vis bois (mm),Vitesse à vide (tr/min),Vitesse à vide en vitesse 1 (tr/min),Vitesse à vide en vitesse 2 (tr/min)
Perceuses à percussion,M12 BLPDRC,M12™ PERCEUSE À PERCUSSION COMPACTE BRUSHLESS,M12 BLPDRC-0,https://fr.milwaukeetool.eu/fr-fr/m12-perceuse-a-percussion-compacte-brushless/m12-blpdrc/,0 - 6750,"0 - 23,250","0 - 23,250",,10,,32,,,10,10,Aucun chargeur fourni,Aucun chargeur fourni,,40,40,32,10,Aucun sac ni box fourni,,Clip de ceinture,,,,1.5,,4058546617233,,0.93 (M12 B2),,4933500421,2,,,1.5,1.5,1.5,,,,,14,3.6,1.02,,,,6x125,,0 - 450,"0 - 1,550"
Perceuses à percussion,M12 BLPDRC,M12™ PERCEUSE À PERCUSSION COMPACTE BRUSHLESS,M12 BLPDRC-202C,https://fr.milwaukeetool.eu/fr-fr/m12-perceuse-a-percussion-compacte-brushless/m12-blpdrc/,"0 - 6,750","0 - 23,250","0 - 23,250",,10,,32,,,10,10,,C12 C,,40,40,32,10,Coffret,"2 x M12 B2 Packs Batteries, C12 C Chargeur, Coffret",Clip de ceinture,,,,1.5,2,4058546617240,,0.93 (M12 B2),,4933500422,2,,,1.5,1.5,1.5,,,,,14,3.6,1.02,,,,6x125,,0 - 450,"0 - 1,550"
Perceuses à percussion,M12 BLPDRC,M12™ PERCEUSE À PERCUSSION COMPACTE BRUSHLESS,M12 BLPDRC-402C,https://fr.milwaukeetool.eu/fr-fr/m12-perceuse-a-percussion-compacte-brushless/m12-blpdrc/,0 - 6750,0 - 23.250,"0 - 23,250",,10,,32,,,10,10,,C12 C,,40,40,32,10,Coffret,"2 x M12 B4 Packs Batteries, C12 C Chargeur, Coffret",Clip de ceinture,,,,1.5,,4058546617264,,1.1 (M12 B4),,4933500424,,,,1.5,1.5,1.5,,,,Li-ion,14,3.6,1.02,,,,6x125,,0 - 470,"0 - 1,550"
Perceuses à percussion,M18 FPD3,PERCEUSE À PERCUSSION M18 FUEL™,M18 FPD3-502X,https://fr.milwaukeetool.eu/fr-fr/perceuse-a-percussion-m18-fuel/m18-fpd3/,,,"0 - 33,000",,16,5.0,89,,,13,16,,M12-18 FC,,158,,,,HD Box,"2 x M18 B5 Packs Batteries, M12-18 FC Chargeur, HD Box","Clip ceinture, poignée latérale",95.78,106.78,,,2,4058546376543,,2.2 (M18 B5),,4933479860,,18,,1.5,1.5,1.5,3,3,,Li-ion,11.3,1.85,1.48,,,,,,0 - 500,"0 - 2,100"
Perceuses à percussion,M18 FPD3,PERCEUSE À PERCUSSION M18 FUEL™,M18 FPD3-0X,https://fr.milwaukeetool.eu/fr-fr/perceuse-a-percussion-m18-fuel/m18-fpd3/,,,"0 - 33,000",,16,Aucune batterie fournie,89,,,13,16,Aucun chargeur fourni,Aucun chargeur fourni,,158,,,,HD Box,,"Clip ceinture, poignée latérale",95.78,106.78,,,,4058546376536,,2.2 (M18 B5),,4933479859,,18,,1.5,1.5,1.5,3,3,,Li-ion,11.3,1.85,1.48,,,,,,0 - 500,"0 - 2,100"
Perceuses à percussion,M18 FPD3,PERCEUSE À PERCUSSION M18 FUEL™,M18 FPD3-0,https://fr.milwaukeetool.eu/fr-fr/perceuse-a-percussion-m18-fuel/m18-fpd3/,,,"0 - 33,000",,16,Aucune batterie fournie,89,,0 - 500,13,16,Aucun chargeur fourni,Aucun chargeur fourni,,158,,,,Aucun sac ni box fourni,,"Clip ceinture, poignée latérale",95.78,106.78,,,,4058546512200,,2.2 (M18 B5),,4933498060,2,18,,1.5,1.5,1.5,3,3,,Li-ion,11.3,1.85,1.48,,,,,,0 - 500,"0 - 2,100"
Perceuses à percussion,M18 BLPDRC,M18™ BRUSHLESS PERCEUSE À PERCUSSION COMPACTE,M18 BLPDRC-502C,https://fr.milwaukeetool.eu/fr-fr/m18-brushless-perceuse-a-percussion-compacte/m18-blpdrc/,,,"0 - 25,500",,13,,52,,,13,16,,M12-18 C,,60.5,,,,Coffret,"2 x M18 B5 Packs Batteries, M12-18 C Chargeur, Coffret",Clip de ceinture,,,,,,4058546476977,1.0,1.5 (M18 B5),,4933492826,,18,,,,,,,,Li-ion,,,,,,,,,0 - 550,"0 - 1,700"
Perceuses à percussion,M18 BLPDRC,M18™ BRUSHLESS PERCEUSE À PERCUSSION COMPACTE,M18 BLPDRC-402C,https://fr.milwaukeetool.eu/fr-fr/m18-brushless-perceuse-a-percussion-compacte/m18-blpdrc/,,,"25,500",52/13/16,13,,52,,,13,16,,M12-18 C,,60.5,,,,Coffret,"2 x M18 B4 Packs Batteries, M12-18 C Chargeur, Coffret",Clip de ceinture,,,,,,4058546476953,1.0,1.5 (M18 B5),,4933492824,,18,,,,,,,,Li-ion,,,,,,,,1700,0 - 550,"0 - 1,700"
Perceuses à percussion,M18 BLPDRC,M18™ BRUSHLESS PERCEUSE À PERCUSSION COMPACTE,M18 BLPDRC-202C,https://fr.milwaukeetool.eu/fr-fr/m18-brushless-perceuse-a-percussion-compacte/m18-blpdrc/,,,"25,500",52/13/16,13,,52,,,13,16,,M12-18 C,,60.5,,,,Coffret,"2 x M18 B2 Packs Batteries, M12-18 C Chargeur, Coffret",Clip de ceinture,,,,,,4058546476939,1.0,1.5 (M18 B5),,4933492822,,18,,,,,,,,Li-ion,,,,,,,,1700,0 - 550,"0 - 1,700"
Perceuses à percussion,M18 BLPDRC,M18™ BRUSHLESS PERCEUSE À PERCUSSION COMPACTE,M18 BLPDRC-0X,https://fr.milwaukeetool.eu/fr-fr/m18-brushless-perceuse-a-percussion-compacte/m18-blpdrc/,,,"25,500",52/13/16,13,,52,,,13,16,,Aucun chargeur fourni,,60.5,,,,HD Box,,Clip de ceinture,,,,,,4058546476922,1.0,1.5 (M18 B5),,4933492821,,18,,,,,,,,Li-ion,,,,,,,,1700,0 - 550,"0 - 1,700"
